Rank,Artist,Song,Genre,Year,Lyrics
3635,Tom Waits,Time,"Contemporary Folk,Singer/Songwriter  ",1985,"Well the smart money's on Harlow
And the moon is in the street
The shadow boys are breaking all the laws
And you're east of East St. Louis
And the wind is making speeches
And the rain sounds like a round of applause
Napoleon is weeping in the Carnival saloon
His invisible fiance is in the mirror
The band is going home
It's raining hammers, it's raining nails
Yes, it's true, there's nothin' left for him down here

And it's Time Time Time
And it's Time Time Time
And it's Time Time Time
That you love
And it's Time Time Time

And they all pretend they're Orphans
And their memory's like a train
You can see it getting smaller as it pulls away
And the things you can't remember
Tell the things you can't forget that
History puts a saint in every dream

Well she said she'd stick around
Until the bandages came off
But these mamas boys just don't know when to quit
And Matilda asks the sailors are those dreams
Or are those prayers?'
So just close your eyes, son
And this won't hurt a bit

And it's Time Time Time
And it's Time Time Time
And it's Time Time Time
That you love
And it's Time Time Time

Well, things are pretty lousy for a calendar girl
The boys just dive right off the cars
And splash into the street
And when she's on a roll she pulls a razor
From her boot and a thousand
Pigeons fall around her feet
So put a candle in the window
And a kiss upon his lips
Till the dish outside the window fills with rain
Just like a stranger with the weeds in your heart
And pay the fiddler off till I come back again

Oh, it's time, time, time
And it's time, time, time

And it's Time Time Time
And it's Time Time Time
And it's Time Time Time
That you love
And it's Time Time Time"
3636,The Neville Brothers,Yellow Moon,"New Orleans R&B,Soul  ",1989, 
3637,Khaled,Aïcha,Pop Raï   ,1996, 
3638,Blind Lemon Jefferson,Black Snake Moan,Acoustic Texas Blues   ,1927, 
3639,Chairlift,I Belong in Your Arms,"New Wave,Synthpop  ",2012,"Crossing my heart
Open wide
You're my crystal and clover
All of me, honestly
Is dedicated to hold you
Swear to God
Double knot
What would you do if I stole you tonight?
Why waste time?

Because the world goes on without us
It doesn't matter what we do
All silhouettes with no regrets
When I'm melting into you
I belong in your arms
I belong in your arms

Feelings are good
Nothing to say
Just want my head on your shoulder
Banana split
Honestly
You're my remote controller
Between you and me
Suddenly
Something something something is on my mind

Because the world goes on without us
It doesn't matter what we do
All silhouettes with no regrets
When I'm melting into you
I belong in your arms
I belong in your arms

Because the world goes on without us
It doesn't matter what we do
All silhouettes with no regrets
When I'm melting into you
I belong in your arms
I belong in your arms"
3640,Woody Herman,Early Autumn,"Big Band,Dixieland,Swing ",1949, 
3641,The Haydn Quartet,Take Me Out to the Ball Game,"Barbershop,Vaudeville  ",1908, 
3642,Steve Reich,It's Gonna Rain,"Minimalism,Tape Music  ",1965, 
3643,The Juan MacLean,Happy House,Nu-Disco   ,2008, 
3644,Nicki Minaj feat. 2 Chainz,Beez in the Trap,"Hardcore Hip Hop,Snap  ",2012, 
3645,Can,Oh Yeah,Krautrock   ,1971, 
3646,No Doubt,Just a Girl,"Alternative Rock,Pop Rock  ",1995,"Take this pink ribbon off my eyes
I'm exposed, and it's no big surprise
Don't you think I know exactly where I stand?
This world is forcing me to hold your hand

'Cause I'm just a girl, oh, little old me
Well, don't let me out of your sight
Oh, I'm just a girl, all pretty and petite
So don't let me have any rights

Oh, I've had it up to here

The moment that I step outside
So many reasons for me to run and hide
I can't do the little things I hold so dear
'Cause it's all those little things that I fear

'Cause I'm just a girl, I'd rather not be
'Cause they won't let me drive late at night
Oh, I'm just a girl, guess I'm some kind of freak
'Cause they all sit and stare with their eyes
Oh, I'm just a girl, take a good look at me
Just your typical prototype

Oh, I've had it up to here
Oh, am I making myself clear?

I'm just a girl
I'm just a girl in the world
That's all that you'll let me be

Oh, I'm just a girl, living in captivity
Your rule of thumb makes me worrisome
Oh, I'm just a girl, what's my destiny?
What I've succumbed to is making me numb
Oh, I'm just a girl, my apologies
What I've become is so burdensome
Oh, I'm just a girl, lucky me
Twiddle-dum, there's no comparison

Oh, I've had it up to
Oh, I've had it up to
Oh, I've had it up to here"
3647,Jody Reynolds,Endless Sleep,Rockabilly   ,1958, 
3648,The Five Stairsteps,O-o-h Child,"Chicago Soul,Pop Soul  ",1970, 
3649,Chic,I Want Your Love,Disco   ,1978,"I want your love, I want your love
I want your love, I want your love

Do you feel like you ever want
To try my love and see how well it fits
Baby, can't you see when you look at me
I can't kick this feeling when it hits

All alone in my bed at night
I grab my pillow and squeeze it tight
I think of you and I dream of you
All of the time, what am I gonna do

I want your love, I want your love
I want your love, I want your love
I want your love, I want your love
I want your love, I want your love

Sometimes, don't you feel
Like you never really had a love that's real
Well, here I am, and who's to say
A better love you won't find today

Just one chance and I will show you love
Like no other, two steps above
On your ladder I'll be a peg
I want your loving, please don't make me beg

I want your love, I want your love
I want your love, I want your love
I want your love, I want your love
I want your love, I want your love

I want your love, I need your love
I'll share my dreams and make you see
How really bad your love I need

I want your love, I need your love
Just like the birds in the sky above
I'll share my dreams and make you see
How really bad your love I need

I want your love, I want your love
I want your love, I want your love
I want your love, I want your love
I want your love, I want your love"
3650,Grandaddy,The Crystal Lake,"Indie Pop,Indie Rock  ",2000,"Should never have left the crystal lake
For parties full of folks who flake
Italian leather winter games
Retired by the duraflames
The crystal lake it only laughs
It knows you're just a modern man
It's shining like a chandelier
Shining somewhere far away from here

I've gotta get out of here...
And find my way again
I've lost my way again

Should never have left the crystal lake
For areas where trees are fake
And dogs are dead with broken hearts
Collapsing by the coffee carts
The crystal lake it only laughs
It knows you're just a modern man
It's shining like a chandelier
Shining somewhere far away from here

I've gotta get out of here...
And find my way again
I've lost my way again"
3651,(Sandy) Alex G,Gretel,"Indie Folk,Indie Rock  ",2019,"I don't wanna go back
Nobody's gonna push me off track, uh huh
I don't wanna go back
Nobody's gonna push me off track, uh huh

It's calling me back
House of Sugar
Did they bury me here?
Daddy don't let 'em put me down
Daddy don't let 'em turn me around
I don't wanna go back
Nobody's gonna push me off track, uh huh
I see what they do
Good people got something to lose
I don't wanna go back
Nobody's gonna push me off track, uh huh
I don't wanna be this
Good people gotta fight to exist
I can see it right there right in front of me"
3652,Neko Case,This Tornado Loves You,"Alt-Country,Singer/Songwriter  ",2009,"[Chorus:]
My love I am the speed of sound
I left them motherless, fatherless
Their souls dangling inside-out from thier mouths...
But it's never enough
I want you

I carved your name across three counties
And ground it in with bloody hides
Broken necks will line the ditch
Till you ""stop it! stop it! stop this madness! ""
I want you

I have waited with a glacier's patience
Smashed every transformer with every trailer
Till nothing was standing
Sixty-five miles wide

But still you are nowhere, still you are nowhere, nowhere in sight
Come out to meet me, run out to meet me
Come into the light

Climb the boxcars to the engine
Through the smoke and to the sky

Your rails could always outrun mine so I
I picked them up and crashed them down
In a moment close to now
Cause I miss, I miss, I miss, I miss
How you'd sigh yourself to sleep
When I'd rake the springtime across your sheets

[Chorus]

My love, I'm an owl on the sill in the evening
But morning finds you
Still warm and breathing
This tornado loves you, what will make you believe me?"
3653,Superchunk,Slack Motherfucker,Lo-Fi / Slacker Rock   ,1990,"You haven't moved from that spot all night except to ask for a light
You damn smokestack
You're wasting my time
I'd like to see you try and give it back

I'm working
But I'm not working for you
You slack motherfucker

You like sitting down
I'll kick that stool right out from under you
You're red-eyed sitting outside
Well I could do the same thing too motherfucker"
3654,Bob Dylan,Rainy Day Women #12 & 35,"Blues Rock,Brass Band  ",1966, 
3655,Paramore,Hard Times,"Alternative Dance,New Wave,Pop Rock ",2017,"All that I want
Is to wake up fine
Tell me that I'm alright
That I ain't gonna die
All that I want
Is a hole in the ground
You can tell me when it's alright
For me to come out

Hard times
Gonna make you wonder why you even try
Hard times
Gonna take you down and laugh when you cry
These lives
And I still don't know how I even survive
Hard times
Hard times

And I gotta get to rock bottom

Walking around
With my little rain cloud
Hanging over my head
And it ain't coming down
Where do I go?
Gimme some sort of sign
You hit me with lightning!
Maybe I'll come alive

Hard times
Gonna make you wonder why you even try
Hard times
Gonna take you down and laugh when you cry
These lives
And I still don't know how I even survive
Hard times
Hard times

And I gotta hit rock bottom

Tell my friends I'm coming down
We'll kick it when I hit the ground
Tell my friends I'm coming down
We'll kick it when I hit the ground
When I hit the ground
When I hit the ground
When I hit the ground
When I hit the ground

Hard times
Gonna make you wonder why you even try
Hard times
Gonna take you down and laugh when you cry
These lives
And I still don't know how I even survive
Hard times (hard times)
Hard times (hard times)

Hard times
Gonna make you wonder why you even try
Hard times
Gonna take you down and laugh when you cry
These lives
And I still don't know how I even survive
Hard times (hard times)
Hard times

(Makes you wonder why you even try
Makes you wonder why you even try
Makes you wonder why you even try
Makes you wonder sometimes)

(Still don't know how I even survive
Still don't know how I even survive
Still don't know how I even survive
Still don't know how I survive)

And I gotta get to rock bottom"
3656,Yazoo,Situation,Synthpop   ,1982,"Blue eyed, dressed for every situation
Moving through the doorway of a nation
Pick me up and shake the doubt
Baby, I can't do without

(Move out) don't mess around
(Move out) you bring me down
(Move out) how you get about it
Don't make a sound, just move out

I remember only for an hour
Move right through me, can you feel the power?
I don't know what's going on
It scares me, but it won't be long

(Move out) don't mess around
(Move out) you bring me down
(Move out) how you get about it
Don't make a sound, just move out

(Move out)
(Move out)
(Move out)

(Move out)
(Move out)
(Move out)

Now, he's in control, he is my lover
Nations stand against him, he's your brother
Been a long time, been a long time now
I'll get to you somehow, yeah

(Move out) don't mess around
(Move out) you bring me down
(Move out) how you get about it
Don't make a sound, just move out

(Move out) don't mess around
(Move out) you bring me down
(Move out) how you get about it
Don't make a sound, just move out

(Move out)
(Move out)
(Move out)

(Move out) don't mess around
(Move out) you bring me down
(Move out) how you get about it
Don't make a sound, just move out

Now, he's in control, he is my lover
Nations stand against him, he's your brother
Been a long time, been a long time now
I'll get to you somehow, yeah

(Move out) don't mess around
(Move out) you bring me down
(Move out) how you get about it
Don't make a sound, just move out

(Move out) don't mess around
(Move out) you bring me down
(Move out) how you get about it
Don't make a sound, just move out"
3657,The Stylistics,"Betcha By Golly, Wow","Philly Soul,Pop Soul  ",1971, 
3658,My Bloody Valentine,When You Sleep,"Dream Pop,Noise Pop,Shoegaze ",1991,"When I look at you
Oh, I don't know what's real
Once in a while
And you make me laugh
And I'll see you tomorrow
And it won't be long
Once in a while
Then you take me down
Then you walk away

When you said 'I do'
Oh, I don't believe you
I can't forget it, no
When you sleep tomorrow
And it won't be long
Once in a while
When you make me smile
And you turn your long blond hair

When I look at you
Oh, I don't know what's real
Once in a while
And you make me laugh
And I'll see you tomorrow
And it won't be long
Once in a while
Then you take me down
Then you walk away"
3659,Dave Matthews Band,Ants Marching,"Pop Rock,Roots Rock  ",1994,"He wakes up in the morning
Does his teeth bite to eat and he's rolling
Never changes a thing
The week ends the week begins
She thinks, we look at each other
Wondering what the other is thinking
But we never say a thing
These crimes between us grow deeper

Take these chances
Place them in a box until a quieter time
Lights down, you up and die

Goes to visit his mommy
She feeds him well his concerns
He forgets them
And remembers being small
Playing under the table and dreaming

Take these chances
Place them in a box until a quieter time
Lights down, you up and die

Driving in on this highway
All these cars end up on the sidewalk
People in every direction
No words exchanged
No time to exchange

And all the little ants are marching
Red and black antennas waving
They all do it the same
They all do it the same way

Candyman tempting the thoughts of a
Sweet tooth tortured by the weight loss
Program cutting the corners
Loose end, loose end, cut, cut
On the fence, could not to offend
Cut, cut, cut, cut

Take these chances
Place them in a box until a quieter time
Lights down, you up and die       

Lights down, you up and die"
3660,Doris Day,Secret Love,"Film Soundtrack,Traditional Pop  ",1953,"Once I had a secret love
That lived within the heart of me
All too soon my secret love
Became impatient to be free

So I told a friendly star
The way that dreamers often do
Just how wonderful you are
And why I'm so in love with you

Now I shout it from the highest hills
Even told the golden daffodils
At last my heart's an open door
And my secret love's no secret anymore

[Instrumental Interlude]

Now I shout it from the highest hills
Even told the golden daffodils
At last my heart's an open door
And my secret love's no secret anymore"
3661,Mott the Hoople,All the Way from Memphis,Glam Rock   ,1973,"Forgot my six-string razor - hit the sky
Half way to Memphis 'fore I realised
Well I rang the information - my axe was cold
They said she rides the train to Oreoles

Now its a mighty long way down the dusty trail
And the sun burns hot on the cold steel rails
'N I look like a bum 'n I crawl like a snail
All the way from Memphis

Well I got to Oreoles y'know - it took a month
And there was my guitar, electric junk.
Some spade said ""Rock'n'rollers, you're all the same.
Man that's your instrument."" I felt so ashamed.

Now its a mighty long way down rock'n'roll
Through the Bradford Cities and the Oreoles
'N you look like a star but you're still on the dole
All the way from Memphis

Yeah it's a mighty long way down rock'n'roll 
From the Liverpool docks to the Hollywood Bowl
'N you climb up the mountains 'n you fall down the holes
All the way from Memphis

Yeah its a mighty long way down rock'n'roll
As your name gets hot so your heart grows cold
'N you gotta stay young man, you can never be old
All the way from Memphis

Yeah its a mighty long way down rock'n'roll
Through the Bradford Cities and the Oreoles
'N you look like a star but you're really out on parole!
All the way from Memphis"
3662,Frank Zappa,Peaches En Regalia,"Jazz Fusion,Jazz-Rock  ",1969, 
3663,Kanye West,Blood on the Leaves,"Experimental Hip Hop,Trap [EDM]  ",2013,"[Nina Simone:]
Strange fruit hangin' from the poplar trees
Blood on the leaves

I just need to clear my mind now
It's been racin' since the summertime
Now I'm holdin' down the summer now
And all I want is what I can't buy now
'Cause I ain't got the money on me right now
And I told you to wait
Yeah, I told you to wait
So I'ma need a little more time now
'Cause I ain't got the money on me right now
And I thought you could wait
Yeah, I thought you could wait
These bitches surroundin' me
All want something out me
Then they talk about me
Would be lost without me
We could've been somebody
Thought you'd be different 'bout it
Now I know you not it
So let's get on with it

We could've been somebody
'stead you had to tell somebody
Let's take it back to the first party
When you tried your first molly
And came out of your body
And came out of your body
Running naked down the lobby
And you was screamin' that you love me
Before the limelight tore ya
Before the limelight stole ya
Remember we were so young
When I would hold you
Before the blood on the leaves
I know there ain't wrong with me
Something strange is happenin'

You could've been somebody
We could've, ugh, we could've been somebody
Or was it on the first party
When we tried our first molly
And came out of our body
And came out of our body
Before they call lawyers
Before you tried to destroy us
How you gon' lie to the lawyer?
It's like I don't even know ya
I gotta bring it back to the 'nolia

Fuck them other niggas 'cause I'm down with my niggas
Fuck them other niggas 'cause I'm down with my niggas
Fuck them other niggas 'cause I'm down with my niggas
I ride with my niggas, I'd die for my...

To all my second-string bitches, tryin' get a baby
Tryin' get a baby, now you talkin' crazy
I don't give a damn if you used to talk to Jay-Z
He ain't with you, he with Beyoncé, you need to stop actin' lazy
She Instagram herself like #BadBitchAlert
He Instagram his watch like #MadRichAlert
He only wanna see that ass in reverse
Two-thousand-dollar bag with no cash in your purse
Now you sittin' courtside, wifey on the other side
Gotta keep 'em separated, I call that apartheid
Then she said she pregnant-ated, that's the night your heart died
Then you gotta go and tell your girl and report that
Main reason 'cause your pastor said you can't abort that
Now your driver say that new Benz, you can't afford that
All that cocaine on the table, you can't snort that
That go into that, all that money that the court got
All in on that alimony, uh
Yeah-yeah, she got you, homie, yeah
'Til death, but do your part, uh
Unholy matrimony

That summer night holdin' long and long, 'din long
Now waiting for the summer rose and (Breathe)
And breathe and breathe
And breathe and breathe
And breathe and breathe
And live and learn
And live and learn
And livin' and livin' like I'm lonely
Lonely, lonely
And livin' all I have
And livin' all
And live
And live"
3664,Dick Dale,Let's Go Trippin',"Rock & Roll,Surf Rock  ",1961, 
3665,Elvis Presley,Crying in the Chapel,"Gospel,Pop  ",1965,"You saw me crying in the chapel.
The tears I shed were tears of joy
I know the meaning of contentment
Now I am happy with the Lord

Just a plain and simple chapel
Where humble people go to pray
I pray the Lord that I'll grow stronger
As I live from day to day

I've searched and I've searched
But I couldn't find
No way on earth
To gain peace of mind

Now I'm happy in the chapel
Where people are of one accord
One accord
Yes, we gather in the chapel
Just to sing and praise the Lord

You'll search and you'll search
But you'll never find
No way on earth
To gain peace of mind

Take your troubles to the chapel
Get down on your knees and pray
Then your burdens will be lighter
And you'll surely find the way"
3666,Nas,The World Is Yours,"Boom Bap,East Coast Hip Hop,Jazz Rap ",1994,"(It's yours)
Whose world is this?
The world is yours, the world is yours
It's mine, it's mine, it's mine—whose world is this?
(It's yours)
It's mine, it's mine, it's mine—whose world is this?
The world is yours, the world is yours
It's mine, it's mine, it's mine—whose world is this?

I sip the Dom P, watchin' Gandhi 'til I'm charged, then
Writin' in my book of rhymes, all the words past the margin
To hold the mic I'm throbbin', mechanical movement
Understandable smooth shit that murderers move with
The thief's theme, play me at night, they won't act right
The fiend of hip-hop has got me stuck like a crack pipe
The mind activation, react like I'm facin'
Time like Pappy Mason, with pens I'm embracin'
Wipe the sweat off my dome, spit the phlegm on the streets
Suede Timbs on my feet makes my cipher complete
Whether cruisin' in a Sikh's cab or Montero Jeep
I can't call it, the beats make me fallin' asleep
I keep fallin', but never fallin' six feet deep
I'm out for presidents to represent me (Say what?)
I'm out for presidents to represent me (Say what?)
I'm out for dead presidents to represent me

Whose world is this?
The world is yours, the world is yours
It's mine, it's mine, it's mine—whose world is this?
The world is yours, the world is yours
It's mine, it's mine, it's mine—whose world is this?
(It's yours)
It's mine, it's mine, it's mine—whose world is this?
The world is yours, the world is yours
It's mine, it's mine, it's mine—whose world is this?

To my man Ill Will, God bless your life (It's yours)
To my peoples throughout Queens, God bless your life
I trip, we box up crazy bitches, aimin' guns in all my baby pictures
Beef with housing police, release scriptures that's maybe Hitler's
Yet I'm the mild, money-gettin' style, rollin' foul
The versatile, honey-stickin', wild, golden child
Dwellin' in the Rotten Apple, you get tackled
Or caught by the devil's lasso, shit is a hassle
There's no days for broke days when sellin' smoke pays
While all the old folks pray to Jesus, soakin' they sins in trays
Of holy water, odds against Nas is slaughter
Thinkin' a word best describin' my life to name my daughter
My strength, my son, the star will be my resurrection
Born in correction, all the wrong shit I did, he'll lead in right direction
How you livin'? Large or broke on charge cards and mediocre?
You flippin' coke or playin' spit, spades, and strip poker?

(It's yours)
It's mine, it's mine, it's mine—whose world is this?
The world is yours, the world is yours
It's mine, it's mine, it's mine—whose world is this?
(It's yours)
It's mine, it's mine, it's mine—whose world is this?
Yo, the world is yours, the world is yours
It's mine, it's mine, it's mine—whose world is this?
(It's yours)

Break it down
It's yours, it's yours
It's yours, it's yours

I'm the young city bandit, hold myself down single-handed
For murder raps, I kick my thoughts alone, get remanded
Born alone, die alone, no crew to keep my crown or throne
I'm deep by sound alone, caved inside, 1,000 miles from home
I need a new nigga for this black cloud to follow
'Cause while it's over me it's too dark to see tomorrow
Tryin' to maintain, I flip, fill the clip to the tip
Picturin' my peeps not eatin' can make my heartbeat skip
And I'm amped up, they locked the champ up, even my brain's in handcuffs
Headed for Indiana, stabbin' women like the Phantom
The crew is lampin' Big Willie style
Check the chip-toothed smile, plus I profile wild
Stash loot in fly clothes, burnin' dollars to light my stoge
Walk the blocks with a bop, checkin' dames, plus the games people play
Bust the problems of the world today

(It's yours)
It's mine, it's mine, it's mine—whose world is this?
The world is yours, the world is yours
It's mine, it's mine, it's mine—whose world is this?
(It's yours)
It's mine, it's mine, it's mine—whose world is this? (Yeah)
The world is yours, the world is yours
It's mine, it's mine, it's mine—whose world is this?
(It's yours)

(Break it down) Yeah, aight
To everybody in Queens, the foundation (It's yours)
The world is yours
To everybody uptown, yo, the world is yours (It's yours)
The world is yours
To everybody in Brooklyn
Y'all know the world is yours (It's yours)
The world is yours
Everybody in Mount Vernon, the world is yours (It's yours)
Long Island, yo, the world is yours (It's yours)
Staten Island, yeah, the world is yours (It's yours)
South Bronx, the world is yours (It's yours)
Aight"
3667,Tegan and Sara,Closer,Electropop   ,2012,"All I want to get is a little bit closer
All I want to know is, can you come a little closer?

Here comes the breath before we get a little bit closer
Here comes the rush before we touch, come a little closer

The doors are open, the wind is really blowing
The night sky is changing overhead

It's not just all physical
I'm the type who won't get oh so critical
So let's make things physical
I won't treat you like you're oh so typical
I won't treat you like you're oh so typical

All you think of lately is getting underneath me
All I dream of lately is how to get you underneath me

Here comes the heat before we meet a little bit closer
Here comes the spark before the dark, come a little closer

The lights are off and the sun is finally setting
The night sky is changing overhead

It's not just all physical
I'm the type who won't get oh so critical
So let's make things physical
I won't treat you like you're oh so typical

I want you close, I want you
I won't treat you like you're typical
I want you close, I want you
I won't treat you like you're typical

Here come the dreams of you and me
Here come the dreams
Here come the dreams of you and me
Here come the dreams

It's not just all physical
I'm the type who won't get oh so critical
So let's make things physical
I won't treat you like you're oh so typical

I want you close, I want you
I won't treat you like you're typical
I want you close, I want you
I won't treat you like you're typical

I won't treat you like you're typical
I won't treat you like you're typical

All I want to get is a little bit closer
All I want to know is, can you come a little closer?"
3668,ZZ Top,Tush,"Blues Rock,Hard Rock  ",1975,"Yeah

I been up, I been down
Take my word, my way around
I ain't asking for much
I said, Lord, take me downtown
I'm just looking for some tush

I been bad, I been good
Dallas, Texas, Hollywood
I ain't asking for much
I said, Lord, take me downtown
I'm just looking for some tush

Take me back, way back home
Not by myself, not alone
I ain't asking for much
I said, Lord, take me downtown
I'm just looking for some tush"
3669,Sly and the Family Stone,If You Want Me to Stay,"Funk,Soul  ",1973, 
3670,Francis Craig Orchestra,Near You,Traditional Pop   ,1947, 
3671,The Beach Boys,I Just Wasn't Made for These Times,"Art Pop,Baroque Pop,Progressive Pop ",1966, 
3672,Paul Simon,Mother and Child Reunion,"Pop Reggae,Singer/Songwriter  ",1972,"No I would not give you false hope
On this strange and mournful day
But the mother and child reunion
Is only a motion away, oh, little darling of mine

I can't for the life of me
Remember a sadder day
I know they say let it be
But it just don't work out that way
And the course of a lifetime runs
Over and over again

No I would not give you false hope
On this strange and mournful day
But the mother and child reunion
Is only a motion away, oh, little darling of mine

I just can't believe It's so
Though it seems strange to say
I never been laid so low
In such a mysterious way
And the course of a lifetime runs
Over and over again

But I would not give you false hope
On this strange and mournful day
When the mother and child reunion
Is only a motion away

Oh the mother and child reunion
Is only a motion away
Oh the mother and child reunion
Is only a moment away"
3673,The Police,Can't Stand Losing You,"New Wave,Pop Rock  ",1978, 
3674,MGMT,Me & Michael ,"New Romantic,Synthpop  ",2018, 
3675,The Rolling Stones,We Love You,"Psychedelic Pop,Psychedelic Rock  ",1967, 
3676,Bobby Bland,Turn On Your Love Light,Rhythm & Blues   ,1961, 
3677,The Beatles,Two of Us,Folk Pop   ,1970, 
3678,Temple of the Dog,Hunger Strike,Grunge   ,1991,"I don't mind stealing bread
From the mouths of decadence
But I can't feed on the powerless
When my cup's already overfilled
Yeah

But it's on the table
The fire's cooking
And they're farming babies
The slaves are all working

Blood is on the table
The mouths are all choking
But I'm goin' hungry, yeah

I don't mind stealing bread
From the mouths of decadence
But I can't feed on the powerless
When my cup's already overfilled, mmm mmm

But it's on the table
The fire is cooking
And they're farming babies
The slaves are all working

And it's on the table
Their mouths are all choking
But I'm going hungry (going hungry)
I'm going hungry (going hungry)
I'm going hungry (going hungry)
I'm going hungry (going hungry)

I'm going hungry (going hungry)
I'm going hungry (going hungry)

Yeah, I don't mind stealing bread
(Mmm, I don't mind)
No, I don't mind stealing bread

I'm going hungry (going hungry)
I'm going hungry (going hungry, yeah)"
3679,Gang Starr feat. Nice & Smooth,DWYCK,"Boom Bap,East Coast Hip Hop  ",1992, 
3680,Chief Keef feat. Lil Reese,I Don't Like,Drill   ,2012, 
3681,Pharrell Williams,Happy,Pop Soul   ,2013,"It might seem crazy what I'm about to say
Sunshine she's here, you can take a break
I'm a hot air balloon that could go to space
With the air, like I don't care, baby, by the way

Uh

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

Here come bad news, talking this and that (Yeah!)
Well, give me all you got, don't hold it back (Yeah!)
Well, I should probably warn you I'll be just fine (Yeah!)
No offense to you
Don't waste your time, here's why

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said
Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do"
3682,Charles Wright and The Watts 103rd Street Band,Express Yourself,Funk   ,1970, 
3683,J.J. Cale,Call Me the Breeze,"Blues Rock,Country Rock  ",1972,"They call me the breeze
I keep blowing down the road
They call me the breeze
I keep blowing down the road

I ain't got me nobody
I ain't carrying me no load

Ain't no change in the weather
Ain't no change in me
Ain't no change in the weather
Ain't no change in me

I ain't hidin' from nobody
Ain't nobody hidin' from me

I got that green light, babe
I got to keep moving on
I got that green light, babe
I got to keep moving on

I might go out to California
Might go down to Georgia
Might stay home"
3684,The Jim Carroll Band,People Who Died,Punk Rock   ,1980, 
3685,De La Soul,Eye Know,East Coast Hip Hop   ,1989,"[Pos:]
Greetings girl and welcome to my world of phrase
I'm right up to bat
It's a D.A.I.S.Y. Age and you're about to walk top-stage
So wipe your Lottos on the mat
Hip-hop love this is and don't mind when I quiz your
Involvements before the sun
But clear your court 'cause this is a one-man sport
And who's better for this than Plug One? (Plug One)
Now don't worry about me squashin' other deals
'Cause they've already been squashed
Freeze a frame about moods the same which we can continue
Right behind the bush
You'll stay with me, I know this
But not because of all my Earthly treasures
Or regardless to the fact that I'm Posdnuos
But because

[Steely Dan:]
I know I'll love you better

[Dove:]
May I cut this dance to introduce myself as
The chosen one to speak?
Let me lay my hand across yours
And aim a kiss upon your cheek
The name's Plug Two (Is Plug Two)
And from the soul I bring you
The Daisy of your choice
May it be filled with the pleasure principle
In circumference to my voice
About those other Jennies I reckoned with
Lost them all like a homework excuse
This time the Magic Number is two
'Cause it takes two, not three, to seduce
My destiny of love is brought to an apex
Sex is a mere molecule
In this world of love that I have for you
It's true (True)

[Steely Dan:]
I know I'll love you better

[Pos:]
Now it's time to let this rhyme style
Get somewhat poured in the mold
Hold my hand and we'll pick my plantation
Of Daisies for a bouquet of Soul (Soul)
Life will begin at the cut of a rim
Take it as filled to the rim as in brim
Squeeze your stoop like Betty Boop
We'll make Campbell's Alphabet Soup
And spell Plug One's within
Forward march is the say
When transistors will play
Come into bed is the mood
Dolby sound will be then top crowned
When I put the needle into your groove
I got a good thing
And in full swing (In full swing)
I show this in gifts, words or letters
But even without those three
I know you'll be close to me 'cause

[Steely Dan:]
I know I'll love you better

[Dove:]
It's I again, and the soul that I send
Is taking steps to reach your heart
Any moment you feel alone
I can fill up your empty part
We can ascend 'til we reach De La Heaven
And in a spin we'll hit the Top Ten
Then we can meet Mr. Stuckie
And Pos' brother Lucky will preach
""Let the wedding begin"" (The wedding begin)
Shot by an arrow of cupid
Through the string of a G-clef
My dear, I claim you're deaf
And if you can hear me, by golly gee
Trugoy is ready for what you possess
We could live in my Plug Two home
And on Mars where we could be all alone
And we make a song for two
Picture perfect things and I sing of how

[Steely Dan:]
I know I'll love you better"
